id,topic,from,to,contents,date,type,party,state,constituency,constituency_type
1492,Shortfall in Implementation of SPMRM,"['Rangaiah, Shri Talari']",RURAL DEVELOPMENT,"Will the Minister of RURAL DEVELOPMENT be pleased to state: (a) whether the Government has noticed any shortfall in the implementation of Shyam Prasad Mukherjee Rural Urban Mission in the country; (b) if so, the details there of; (c) whether the Government is aware that the SPMRM is not achieving the desired goals; and (d) if so, the details there of?",2021-12-07,UNSTARRED,['Yuvajana Sramika Rythu Congress Party'],['Andhra Pradesh'],['Anantapur'],['']
1493,Rules and Codes Regulation for Television,"['Kumar, Shri Narendra']",INFORMATION AND BROADCASTING,Will the Minister of INFORMATION AND BROADCASTING be pleased to state: (a) the details of the rules and codes regulating the telecast of programs and advertisements on television; (b) the steps taken by the Government regarding violation of the said rules and codes by television channels along with the conditions on which the Government has powers to ban such channels in case of violation; and (c) the details of the action taken by the Government against the channels showing programs based on obscenity and violence during the last three years?,2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Rajasthan'],['Jhunjhunu'],['']
1494,Discontinuation of Dairy Entreneurship Development Scheme (DEDS),['Adv. A. M. Ariff'],"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , be pleased to state: (a) whether the Government is aware that dairy farmers in the country are protesting against the decision to tax the milk cooperatives under section 194Q of IT Act, if so, the action taken thereon; (b)the details of the schemes implemented by the Government for the development of dairy sector in the country in the FY 2021-22 and the state wise allocations in this regard; (c)the reason for the discontinuation of the Dairy Entrepreneurship Development Scheme (DEDS) implemented through NABARD from 2020-21; and (d) whether the Government will consider providing requisite allocation for the continuation of the DEDS scheme,if not, the reasons therefor?",2021-12-07,UNSTARRED,['Communist Party of India (Marxist)'],['Kerala'],['Alappuzha'],['']
1495,FCRA for NGOs,"['Owaisi, Shri Asaduddin']",HOME AFFAIRS,"Will the Minister of HOME AFFAIRS be pleased to state: (a) whether new provisions were made under FCRA and NGOs under section seven restricting transfer of foreign contribution to other persons/NGOs once received in the country; (b) if so, the number of such cases came to the notice where NGOs were found transferring such funds; (c) whether this step taken by the Government has affected many NGOs to perform their social work especially in the field of health sector those who are working at grass root level for community development and awareness; and (d) if so, the details thereof and steps taken or being taken by the Government to address the concern raised . by NGOs as well as regulate NGOs for utilization of funds judiciously received for special purpose?",2021-12-07,UNSTARRED,['All India Majlis-E-Ittehadul Muslimeen'],['Telangana'],['Hyderabad'],['']
1496,Batteries  for  Electric Vehicles,"['Joshi, Shri Chandra Prakash', 'Nagar, Shri Rodmal']",HEAVY INDUSTRIES,"Will the Minister of HEAVY INDUSTRIES be pleased to state: (a) the steps being taken by the Government to improve quality and to bring down the prices of batteries used in electric vehicles; (b) whether any agreement has been signed with any educational or research and development agency in the country and abroad in this regard; and (c) if so, the details thereof?",2021-12-07,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Rajasthan', 'Madhya Pradesh']","['Chittorgarh', 'Rajgarh']","['', '']"
1497,Fisheries Start-ups,"['Majumdar, Dr. Sukanta']","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , be pleased to state: (a) whether the Government has started the countrys first-of-its-kind, a dedicated business incubator to nurture fisheries start-ups in the country; (b) if so, the details thereof; (c) whether the National Cooperative Development Corporation (NCDC), is the implementing agency for fisheries sector incubators; (d) if so, whether NCDC has identified the first batch of ten incubates from four States; (e) if so, the details thereof; and (f) the details of other steps being taken in fisheries sector under the central flagship Pradhan Mantri Matsya Sampada Yojana (PMMSY) in the country including in the State of West Bengal?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['West Bengal'],['Balurghat'],['']
1498,Compensation to Workers due to Delay in Payment of MGNREGS Wages in Andhra Pradesh,"['Ram Mohan Naidu, Shri Kinjarapu']",RURAL DEVELOPMENT,"Will the Minister of RURAL DEVELOPMENT be pleased to state: (a) whether a wage seeker under the Mahatma Gandhi National Rural Employment Guarantee Scheme (MGNREGS) is entitled to receive payment of compensation at the rate of 0.05% of the unpaid wages per day of delay beyond the sixteenth day of closure of muster roll in case of not receiving payment of wages within fifteen days from the date of closure of muster roll, if so, the details thereof; (b) the total number of MNREGS transactions which took more than 15 days to transfer wages to workers in 283 Andhra Pradesh (AP) since 2019, year-wise and district-wise; (c) the total amount of compensation paid to workers due to delay in payment of MGNREGS wages beyond 15 days in AP since 2019, year-wise and district-wise; and (d) whether there was a delay in payment of wage and no compensation was given to the workers, if so, the reasons for the same?",2021-12-07,UNSTARRED,['Telugu Desam Party'],['Andhra Pradesh'],['Srikakulam'],['']
1499,Promotion of Fishing Industry,"['Verma, Shri Rajesh']","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , be pleased to state: (a) whether the Government is implementing any special scheme to promote fishing industry; and (b) if so, the details thereof, State-wise?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Sitapur'],['']
1500,Garib Kalyan Rojgar Abhiyaan,"['Pandey, Shri Ritesh', 'Bhagirath Choudhary, Shri']",RURAL DEVELOPMENT,"Will the Minister of RURAL DEVELOPMENT be pleased to state: (a) the reasons for using man-days as opposed to number of jobs created to measure employment generated by the Garib Kalyan Rojgar Abhiyaan(GKRA); (b) the details of the total number of beneficiaries of the GKRA so far; and (c) the total number of migrant labourers being trained/likely to be trained under the GKRA (d) the expected timeline to achieve the objectives of providing 125 days of employment to 670,000 migrant workers?",2021-12-07,UNSTARRED,"['Bahujan Samaj Party', 'Bharatiya Janata Party']","['Uttar Pradesh', 'Rajasthan']","['Ambedkar Nagar', 'Ajmer']","['', '']"
1501,Rashtriya Gram Swaraj Abhiyan (RGSA),"['Ram, Shri Vishnu Dayal']",PANCHAYATI RAJ,"Will the Minister of PANCHAYATI RAJ be pleased to state: (a) the details of the Rashtriya Gram Swaraj Abhiyan (RGSA); (b) the data on the funds allocated for the RGSA, State-wise in the last three years; (c) the data on the funds allocated for RGSA, Panchayat-wise during the last three years especially in the districts of Palamu and Garwha; (d) whether any new initiatives have been taken up under the scheme; and (e) if so, the details thereof? .",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Jharkhand'],['Palamu'],['SC']
1502,Gram Panchayat Development Plan(GPDP),"['Firojiya, Shri Anil']",PANCHAYATI RAJ,"Will the Minister of PANCHAYATI RAJ be pleased to state: (a) whether any step has been taken to improve the role of the Panchayats and localization of Sustainable Development Goals (SDGs); (b) if so, the details thereof; (c) whether there is a proposal to merge Village Poverty Reduction Plan (VPRP) with Gram Panchayat Development Plan (GPDP); and (d) if so, the details thereof?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Madhya Pradesh'],['Ujjain'],['SC']
1503,Setting-Up of FPIs in Punjab,"['Mann, Shri Bhagwant']",FOOD PROCESSING INDUSTRIES,"Will the Minister of FOOD PROCESSING INDUSTRIES be pleased to state: (a) whether the Government has any proposal to set up Food Processing Industries (FPIs) in every district of Punjab; (b) if so, the districts in Punjab where food processing zone have already been set up; (c) the steps taken by the Government to set up food processing zone in the remaining districts of Punjab; and (d) the financial assistance provided to the private entrepreneurs to set up such units?",2021-12-07,UNSTARRED,['Aam Aadmi Party'],['Punjab'],['Sangrur'],['']
1504,Installation of CCTV Cameras,"['Chinraj, Shri A.K.P.']",HOME AFFAIRS,"Will the Minister of HOME AFFAIRS be pleased to state: (a) whether the Supreme Court direction on installation of CCTV cameras at the offices of the National Investigation Agency (NIA), Narcotics Control Bureau (NCB), and any other central agency office where interrogation of people is carried out is not followed; (b) if so, the details thereof; and (c) the status of implementation of judgment Paramvir Singh Saini v. Baljit Singh?",2021-12-07,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Namakkal'],['']
1505,Opening of New FPIS,"['Godse, Shri Hemant Tukaram']",FOOD PROCESSING INDUSTRIES,"Will the Minister of FOOD PROCESSING INDUSTRIES be pleased to state: 284 (a) whether the Government has any proposal to boost the opening of new Food Processing Industries (FPIs); (b) whether there is any kind of subsidy or loan provided to the individuals who want to start Food Processing Units; and (c) the status of FPIs in the State of Maharashtra , particularly those being run with the support of the Government?",2021-12-07,UNSTARRED,['Shiv Sena'],['Maharashtra'],['Nashik'],['']
1506,Cold Storage,"['Bista, Shri Raju', 'Selvaraj, Shri Muniyan']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) the number of cold storage facilities established across the country in the past three years including those established from Union Government funds, State- wise; (b) the details of the cold storages established in the country from the grants provided by the Union Government, State-wise during the last three years and the current year; (c) whether the Union Government proposes to launch a scheme for providing grants for establishing cold storages for agricultural crops, if so, the details thereof; (d) the details of the cold storage facilities in the districts of Darjeeling, Kalimpong, Jalpaiguri, Alipurduars, and Cooch Behar in the North Bengal region; and (e) the details of Central Government Schemes under which local FPOs and SHGs can apply for setting up of cold storage facilities?",2021-12-07,UNSTARRED,"['Bharatiya Janata Party', 'Communist Party of India']","['West Bengal', 'Tamil Nadu']","['Darjeeling', 'Nagapattinam']","['', 'SC']"
1507,Barren Land,"['Kaswan, Shri Rahul']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) whether it is a fact that agricultural land in the country is rapidly becoming barren; (b) if so, the reasons therefor; (c) whether there is any proposal of the Government to provide land and farming knowledge to the farmers, so that the agricultural land could be saved from becoming barren in the future; and (d) if so, the details thereof?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Rajasthan'],['Churu'],['']
1508,National Programme for Dairy Development,"['Chaudhary, Shri P.P.']","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , be pleased to state: (a) whether any extension of benefits to dairy entrepreneurs/dairy industry is proposed by the Government through convergence of National Programme for Dairy Development (NPDD); (b) if so, the details thereof; (c) the release of funds under the National Programme for Dairy Development by Government during the last two years; and (d) the number of projects and proposals received and sanctioned under this scheme in Rajasthan?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Rajasthan'],['Pali'],['']
1509,Improving Quality Badminton Facilities,"['Rudy, Shri Rajiv Pratap']",YOUTH AFFAIRS AND SPORTS,"Will the Minister of YOUTH AFFAIRS AND SPORTS be pleased to state: (a) whether Government has taken steps to improve access to quality badminton facilities in the country and if so, details thereof; (b) whether the Government has taken steps to increase availability of badminton coaches in the country, particularly at schools and in private coaching facilities for teenagers and if so, the details thereof; (c) the details and the number of Badminton players palyers of the country ranked in the top 100 players of the world for men and women each; (d) whether there are any sponsorship schemes for lesser-privileged players with potential to get access to quality training of badminton and if so, the details thereof?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Bihar'],['Saran'],['']
1510,Schemes for Information and Broadcasting Sector,"['Mondal, Shri Sunil Kumar']",INFORMATION AND BROADCASTING,"Will the Minister of INFORMATION AND BROADCASTING be pleased to state: (a) whether the Government has been succeeded through its various schemes in improving the status of information and broadcasting sector in the country during the last six years; and (b) if so, the details thereof and if not, the reasons therefor?",2021-12-07,UNSTARRED,['All India Trinamool Congress'],['West Bengal'],['Bardhaman Purba'],['SC']
1511,Guidelines for Selection of Coaches,"['Gnanathiraviam, Shri S.']",YOUTH AFFAIRS AND SPORTS,"Will the Minister of YOUTH AFFAIRS AND SPORTS be pleased to state: 285 (a) whether the Government has issued any guidelines recently for selection of coaches; (b) if so, the details thereof; and (c) the steps taken/being taken to inject more professionalism in this regard?",2021-12-07,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Tirunelveli'],['']
1512,Policy Hurdles of Cooperative Model,"['Jagathrakshakan, Shri S.']",COOPERATION,"Will the Minister of COOPERATION be pleased to state: (a) whether the cooperative model in the country is facing numerous policy hurdles; (b) if so, the initiative(s) that have been taken/being taken by the Government to address this issue; and (c) if not, the reasons therefor?",2021-12-07,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Arakkonam'],['']
1513,Betel Farming,"['Chandel, Kunwar Pushpendra Singh']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) whether the Government has taken special measures to promote betel farming in Bundelkhand; (b) if so, the details thereof; and (c) the details of expansion of betel farming in the country including Bundelkhand during the last five years, State-wise?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Hamirpur'],['']
1514,Training Modules of Central Sector Schemes,"['Mallah, Shri Kripanath']",SOCIAL JUSTICE AND EMPOWERMENT,"Will the Minister of SOCIAL JUSTICE AND EMPOWERMENT be pleased to state: (a) whether the Government has planned for Training Modules of Central Sector Scheme within the country (b) if so, the details thereof; (c) the funds estimated and target set for this; (d) the number of States likely to be covered under this scheme for the said Training Modules; and (e) whether the Government has planned to cover Assam for Training Modules, if so, the details thereof, district wise and if not, the reasons therefor?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Assam'],['Karimganj'],['SC']
1515,Subsidy to Promote Milk Production,"['Patel, Shri Gajendra Singh']","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , be pleased to state: (a) the details of the subsidy being provided to promote milk production in rural areas; (b) the details of dairy schemes of Central Government and State Government of Madhya Pradesh related to dairy industry; (c) the details of various schemes related to animal husbandry; and",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Madhya Pradesh'],['Khargone'],['ST']
1516,Cash Dole to Sri Lankan Refugees,"['Ravikumar, Dr. D.']",HOME AFFAIRS,"Will the Minister of HOME AFFAIRS be pleased to state: (a) whether the Government has any plan to increase the monthly cash dole given to Sri Lankan refugees who are languishing in more than 100 camps in Tamil Nadu, if so, the details thereof and if not, the reasons therefor; (b) whether the Government has any proposal to construct temporary houses for the refugees; (c) if so, the details of amenities including the cash dole given to refugees belonging to various countries; (d) the provisions available to the refugee children to get quality education; and (e) the details of the repatriates given citizenship under Rajiv Gandhi - Jayawardane Accord signed between India and Sri Lanka?",2021-12-07,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Viluppuram'],['SC']
1517,Agro-Processing Cluster,"['Chazhikadan, Shri Thomas']",FOOD PROCESSING INDUSTRIES,"Will the Minister of FOOD PROCESSING INDUSTRIES be pleased to state: (a) the details of various initiatives of agro- processing cluster undertaken and the ongoing projects of such clusters, including the State of Kerala, state- wise; (b) whether the Government has conducted any study in the context of developing agro-processing clusters and mega food parks in the country and if so, the details thereof; (c) whether some modern infrastructure has been provided for food processing units and if so, the details thereof and if not, the reasons therefor; (d) the details of ongoing and upcoming projects and initiatives taken by the Government regarding reduction of networth criteria for women and SC/ST entrepreneurs for agro processing clusters and units in it; and 286 in (e) the number of projects approved under the infrastructure development of agro-processing clusters under Mega Food Parks Scheme the State of Kerala?",2021-12-07,UNSTARRED,['Kerala Congress (M)'],['Kerala'],['Kottayam'],['']
1518,Upgradation of Roads under PMGSY in Telangana,"['Rao, Shri Nama Nageswara']",RURAL DEVELOPMENT,"Will the Minister of RURAL DEVELOPMENT be pleased to state: (a) whether the Government has received any proposal from the State Government of Telangana for upgradation of the proposed 4000 km Pradhan Mantri Gram Sadak Yojana (PMGSY) roads in the State from 3.75 mts to 5.5 mts bituminous pavement, if so, the details thereof; (b) whether any decision has been taken by the Government in this regad, if so, the details thereof; and (c) if not, the reasons therefor?",2021-12-07,UNSTARRED,['Telangana Rashtra Samithi'],['Telangana'],['Khammam'],['']
1519,Eradication of Manual Scavenging,"['Pal , Shri Jagdambika']",SOCIAL JUSTICE AND EMPOWERMENT,"Will the Minister of SOCIAL JUSTICE AND EMPOWERMENT be pleased to state: (a) the steps taken by the Government for the Eradication of Manual Scavenging; (b) whether there is any exsiting national or state- level body to monitor the implementation of the Employment of Manual Scavengers and Construction of Dry Latrines (prohibition) Act, 1993, if so, the details thereof, if not, the reasons therefor; (c) whether the Government has any State-wise data showing the casualties caused due to the manual scavenging, if so, the details thereof; and (d) the steps taken for the rehabilitation of the victims of manual scavenging?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Domariyaganj'],['']
1520,Quality of Life of Farmers,"['Patel, Smt. Keshari Devi']",AGRICULTURE AND FARMERS WELFARE,Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) the details of the action taken by the Government to improve the quality of the life of farmers engaged in the cultivation of amla as their quality of life is not satisfactory? .,2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Phulpur'],['']
1521,Use of Drugs Among Women and Children,"['Dubey, Dr. Nishikant']",SOCIAL JUSTICE AND EMPOWERMENT,"Will the Minister of SOCIAL JUSTICE AND EMPOWERMENT be pleased to state: (a) whether it has come to the notice of the Government that the incidence of use of drugs is rising among women and children in the country; (b) if so, the details thereof; (c) the number of women and children detained for selling/using drugs during each of the last three years and current year, year-wise; (d) the number of the de-addiction Centres functioning across the country, State-wise; and (e) the details of financial assistance provided to these Centres during each of the last three years and the current year, State-wise including the State of Jharkhand?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Jharkhand'],['Godda'],['']
1522,Fertility of Soil,"['Nete, Shri Ashok Mahadeorao']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) whether the fertility of soil is being affected due to use of insecticides and low grade fertilizers in agriculture; (b) if so, the reaction of the Government thereto; (c) whether the Government has done/proposes to do any evaluation of the side effects of insecticides and low grade fertilizers on the fertility of soil; and (d) if so, the details thereof?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Maharashtra'],['Gadchiroli-Chimur'],['ST']
1523,Funding for Terrorism,"['Ahmed, Smt. Sajda']",HOME AFFAIRS,Will the Minister of HOME AFFAIRS be pleased to state: (a) the details and the number of cases disclosed in funding for terrorism in the country during the last three years; (b) the details of the domestic and international attachment of assets and penalties issued under the Prevention of Money Laundering Act (PMLA) and charge sheets filed by various probe agencies during the said period; (c) the steps taken by the Government to counter terrorist financing; and 287 (d) the efforts of the Government to take membership of Financial Action Task Force?,2021-12-07,UNSTARRED,['All India Trinamool Congress'],['West Bengal'],['Uluberia'],['']
1524,Inclusion of Language in Eighth Schedule,"['Kapoor, Shri Kishan']",HOME AFFAIRS,"Will the Minister of HOME AFFAIRS be pleased to state: (a) whether the Government has prescribed any criteria to recognise a popular language of a State in the List of Language in the Eighth Schedule of the Constitution; (b) if so, the details thereof; and (c) the details of the last language along with its State added in the said List?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Himachal Pradesh'],['Kangra'],['']
1525,Centrally Sponsored Schemes for Rural Development,"['Ajmal, Maulana Badruddin', 'Dubey, Shri Vijay Kumar', 'Sharma, Shri Anurag', 'Haridas, Ms. Ramya', 'Prasad, Shri Chandeshwar', 'Patel, Shri Gajendra Singh']",RURAL DEVELOPMENT,"Will the Minister of RURAL DEVELOPMENT be pleased to state: (a) the details/names of centrally sponsored schemes and flagship programmes being implemented at present for development of rural areas, backward areas and tribal areas, State/UT-wise particularly in the States of Bihar, Madhya Pradesh and Assam; (b) whether the Government has allocated any funds for the said schemes; (c) if so, the details thereof along with the total funds sanctioned/released/utilized seperately during each of the last five years and the current year, State/UT-wise including North Eastern States, Uttar Pradesh(espeically Jhansi and Lalitpur), Jehanabad, Arwal and Gaya districts of Bihar; (d) the names of the states which are achieving targets set by this ministry and utilizing the fund released by this ministry perfectly; (e) whether the Government has reduced the financial allocation in different rural development projects, if so, the reasons therefor; and (f) the other steps taken by the Government for effective implementation of this scheme?",2021-12-07,UNSTARRED,"['All India United Democratic Front', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Indian National Congress', 'Janata Dal (United)', 'Bharatiya Janata Party']","['Assam', 'Uttar Pradesh', 'Uttar Pradesh', 'Kerala', 'Bihar', 'Madhya Pradesh']","['Dhubri', 'Kushi Nagar', 'Jhansi', 'Alathur', 'Jahanabad', 'Khargone']","['', '', '', 'SC', '', 'ST']"
1526,Dryland Development Mission,"['Vanga, Smt. Geetha Viswanath', 'Reddy, Shri Kotha Prabhakar']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) whether the Government is implementing the Dryland Development Missions and lakhs of rainfed farmers will benefit from such projects funded by Union and State Governments including Andhra Pradesh and Telangana; (b) whether the use of new drought resistant varieties and rainwater harvesting techniques will create a secure environment for rainfed cultivation, as many small and marginal farmers in all States are engaged in dry farming in lakhs of hectares on cluster basis; (c) whether rainwater harvesting systems such as farm ponds and contour funding will be created, agricultural inputs like bio-fertilizers, quality seeds of nutri-cereals, oilseeds and pulses, farm machinery will be distributed at subsidized rates and financial assistance for planting high value tree saplings will be given to villages which come forward under these schemes; and (d) if so, the details and present status thereof?",2021-12-07,UNSTARRED,"['Yuvajana Sramika Rythu Congress Party', 'Telangana Rashtra Samithi']","['Andhra Pradesh', 'Telangana']","['Kakinada', 'Medak']","['', '']"
1527,Homeless Beneficiaries under PMAY,"['Singh, Shri Uday Pratap']",RURAL DEVELOPMENT,"Will the Minister of RURAL DEVELOPMENT be pleased to state: (a) whether the Government has taken note of such poor category under Pradhan Mantri Awas Yojana (PMAY) which have not been covered under the 2011 Survey list; (b) if so, whether the Government is formulating a separate plan for such homeless eligible beneficiaries; (c) if so, the details thereof and the time by which the Government is bringing the proposal for homeless eligible beneficiaries; and (d) if not, the manner in which the Government proposes to address the issue of homelessness including the details of such a plan?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Madhya Pradesh'],['Hoshangabad'],['']
1528,Natural Disaster in Maharashtra,"['Tumane, Shri Krupal Balaji', 'Bhavana Gawali (Patil), Ms.', 'Jadhav, Shri Sanjay Haribhau', 'Rajenimbalkar, Shri Omprakash Bhupalsingh alias Pavan']",HOME AFFAIRS,"Will the Minister of HOME AFFAIRS be pleased to state: 288 (a) whether the Government is aware that several districts of Maharashtra have to face natural disasters like unusually heavy rainfall, unseasonal rain and various cyclones during the year 2020 and 2021; (b) if so, the total loss caused by the said natural disasters in the said districts and the amount of financial assistance released by the Government so far to compensate the said loss; (c) the amount of funds allocated to resume transportation and telecommunication services affected due to heavy rainfall, flood, cyclone, landslide, etc.; (d) whether the Government provides any financial assistance to compensate the farmers for the loss of their livestock under NDRF, if so, the details thereof, district-wise; (e) the amount of funds allocated by the Government to Maharashtra under the financial provision under NDRF particulalry the amount of funds relesed for Yavatmal- Washim; and (f) whether the State Government of Maharashtra has sent any proposal to the Union Government to provide financial assistance to the said districts under NDRF and if so, the details thereof along with the action taken by the Government in this regard?",2021-12-07,UNSTARRED,"['Shiv Sena', 'Shiv Sena', 'Shiv Sena', 'Shiv Sena']","['Maharashtra', 'Maharashtra', 'Maharashtra', 'Maharashtra']","['Ramtek', 'Yavatmal-Washim', 'Parbhani', 'Osmanabad']","['SC', '', '', '']"
1529,Increase in Stray Cattle,"['Patel, Shri R.K. Singh']","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , be pleased to state: (a) whether the number of stray animals has increased in recent times in the State of Uttar Pradesh; (b) if so, the details thereof of all the districts in Bundelkhand region of the State of Uttar Pradesh from 2015-2021; (c) whether there is any action plan to protect crops of farmers from stray animals; and (d) if so, the details thereof?",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Banda'],['']
1530,Funds Gram Panchayats,"['Singh, Shri Ravneet', 'Vijayakumar (Alias) Vijay Vasanth , Shri']",PANCHAYATI RAJ,"Will the Minister of PANCHAYATI RAJ be pleased to state: (a) whether it is a fact that the Government has suggested that gram panchayats may lease their assets to raise their own revenue; (b) if so, the details thereof along with the reasons therefor; (c) the details of the advisory issued by the Government recently to gram panchayats suggesting a number of activities to be done across the country; . (d)whether there is any hindrance to the infrastructural and developmental activities of the gram panchayats due to lack of adequate financial resources or delay in release of funds by the Government and if so, the details thereof; and (e) the details of the measures being taken by the Government to ensure timely and adequate fund availability to the gram panchayats in the country?",2021-12-07,UNSTARRED,"['Indian National Congress', 'Indian National Congress']","['Punjab', 'Tamil Nadu']","['Ludhiana', 'Kanniyakumari']","['', '']"
1531,Traditional Fisherfolk in Kerala,"['Premachandran, Shri N.K.']","FISHERIES, ANIMAL HUSBANDRY AND DAIRYING","Will the Minister of FISHERIES, ANIMAL HUSBANDRY AND DAIRYING , be pleased to state: (a) whether the Government proposes to protect the traditional fisherfolk for their livelihood, if so, the details of action taken there on; (b) whether the Government has conducted study regarding the difficulties of traditional fisherfolk in the State of Kerala, if so, the details thereof; (c) the facilities and subsidies given by Union Government for the traditional fisherfolk using outboard motor for fishing; (d) whether the Government proposes to restore supply of kerosene in subsidized rate for fisherfolk, if so, the details of action taken thereon; (e) whether it has come to the notice of the Government that about 30700 outboard motors being used by traditional fisherfolk in Kerala use Kerosene as fuel; (f) if so, the action taken for restoring the supply of Kerosene; (g) whether the Government proposes to supply sufficient quantity of Kerosene in subsidized rate for ensuring livelihood of traditional fisherfolk; and (h) if so, the details thereof?",2021-12-07,UNSTARRED,['Revolutionary Socialist Party'],['Kerala'],['Kollam'],['']
1532,Small  Business  for  Farmers,"['Saraswati, Shri Sumedhanand']",AGRICULTURE AND FARMERS WELFARE,"Will the Minister of AGRICULTURE AND FARMERS WELFARE be pleased to state: (a) whether the Government is implementing or proposes to implement any scheme to enable the farmers to set up their small business in their farm along with farming without land conversion; (b) if so, the details thereof; (c) if not, the reasons therefor; (d) the efforts being made by the Government to enable the unemployed young farmers to set up any small business in their farm along with farming; and (e) the details of efforts being made by the Government to provide employment to the unemployed farmers? 289",2021-12-07,UNSTARRED,['Bharatiya Janata Party'],['Rajasthan'],['Sikar'],['']
1533,Performance Based Incentives,"['Pasunoori, Shri Dayakar', 'Maloth, Smt. Kavitha', 'Borlakunta, Shri Venkatesh Netha', 'Reddy, Dr. Gaddam Ranjith']",PANCHAYATI RAJ,"Will the Minister of PANCHAYATI RAJ be pleased to state: (a) whether any request from the Minister of Panchayati Raj has been received in the Ministry for release of performance-based incentive to the tune of Rs. 254.74 crores to the State of Telangana; (b) whether it is true that the Minister has requested to release first trench of funds under Rashtriya Gram Swaraj Abhiyan (RGSA) to Telangana to the tune of Rs. 52.55 crores; and (c) if so, the details of the action taken by the Government and the time by when the Government is going to release the same?",2021-12-07,UNSTARRED,"['Telangana Rashtra Samithi', 'Telangana Rashtra Samithi', 'Telangana Rashtra Samithi', 'Telangana Rashtra Samithi']","['Telangana', 'Telangana', 'Telangana', 'Telangana']","['Warangal', 'Mahabubabad', 'Peddapalle', 'Chevella']","['SC', 'ST', 'SC', '']"
1534,Construction of National-Level Stadium,"['Kumar, Shri Sunil']",YOUTH AFFAIRS AND SPORTS,"Will the Minister of YOUTH AFFAIRS AND SPORTS be pleased to state: (a) whether the Government has any proposal for the construction of a national-level stadium in West Champaran of Bihar to promote games of international-level; (b) if so, the details thereof; (c) the funds released for promotion of sports in West Champaran district during last five years; and (d) the details thereof?",2021-12-07,UNSTARRED,['Janata Dal (United)'],['Bihar'],['Valmiki Nagar'],['']
